Date,Usage
2025-03-01,19.5
2025-03-02,20.3
2025-03-03,18.8
2025-03-04,21.2
2025-03-05,22.7
2025-03-06,23.1
2025-03-07,24.5
2025-03-08,22.9
2025-03-09,21.4
2025-03-10,20.3
2025-03-11,19.8
2025-03-12,18.7
2025-03-13,17.5
2025-03-14,16.3
2025-03-15,15.8
2025-03-16,14.6
2025-03-17,16.3
2025-03-18,17.9
2025-03-19,18.7
2025-03-20,19.4
2025-03-21,20.2
2025-03-22,21.8
2025-03-23,22.5
2025-03-24,23.3
2025-03-25,24.1
2025-03-26,22.9
2025-03-27,21.6
2025-03-28,20.4
2025-03-29,19.2
2025-03-30,18.8
2025-03-31,17.5
